Recorded Date,Please share some basic information about yourself and your association. - Association Name,Number of Association Employees (2019),Number of Member Businesses,Number of Member Business Employees (2019),Tag,Association annual revenue (2019),Industry annual revenue (2019),Has the global coronavirus pandemic disrupted your industry's supply chain and/or distribution of product?,How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (association),How have sales and revenue changed for your association AND for your members - compared to last month? (association),How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (members),How have sales and revenue changed for your association AND for your members - compared to last month? (members),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago? (association),How have budgets and expenses changed for your association AND for your members - compared to last month? (association),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago?(members),How have budgets and expenses changed for your association AND for your members - compared to last month? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (members),What percentage of your association's employees have been furloughed or laid off?,How has COVID-19 affected your industry's seasonal hiring?,"If affected, by how much?",What percentage of your industry's non-seasonal employees have been furloughed or laid off?
7/31/20 5:51,American Sportfishing Association ,21,880,NA,Fishing,6500000,NA,1,2,6,11,11,3,2,7,7,1,1,2,2,2,1,1,8
4/20/20 16:22,Archery Trade Association,17,"2,500",<500,Hunting,,,1,3,5,3,4,2,2,3,6,1,1,3,5,1,,,7
8/5/20 13:57,Archery Trade Association,20,2500,500,Hunting,"$5,500,000 ",unknown,2,4,10,5,5,3,1,6,6,1,1,6,6,1,3,,8
5/19/20 12:55,Archery Trade Association ,17,"2,500",<500,Hunting,,,2,1,6,3,7,3,3,3,6,1,1,3,6,1,,,7
8/5/20 8:47,ARVC,12,3000,20000,Campgrounds + Hospitality,"3,500,000","200,000,000",2,6,6,5,12,3,3,3,3,1,1,4,4,1,1,1,3
4/24/20 11:43,Assn of RV Parks & Campgrounds (ARVC),12,3100,20000 est.,Campgrounds + Hospitality,,,1,4,3,2,2,2,2,3,3,1,1,3,"3,4",1,,,4
8/6/20 11:40,Association of Marina Industries ,5,1050,24262,Water Sports,1000000,4800000000,2,6,12,10,6,2,2,4,4,1,1,2,2,1,3,,1
5/26/20 9:41,Diving Equipment and Marketing Association,8,1400,"10,000",Water Sports,,,1,1,1,2,1,3,3,3,3,1,1,4,4,5,,,7
8/6/20 10:34,Diving Equipment and Marketing Association,8,1400,"10,000",Water Sports,"3,000,000","$4,000,000,000 ",1,1,1,1,1,3,3,3,3,"1,4","1,4",4,4,5,2,5,7
4/22/20 17:58,Diving Equipment and Marketing Association (DEMA),8,1400,"10,000",Water Sports,,,1,2,2,2,1,2,2,2,2,4,4,4,4,5,,,6
5/26/20 15:35,International Snowmobile Mfgs Association,2,4,4,Snowsports,,,1,5,5,5,5,3,3,3,3,3,3,3,3,6,,,7
7/31/20 11:36,ISMA,2,4,6500,Snowsports,"500,000","34,000,000,000",2,3,,,,3,,,,3,,,,6,2,2,5
4/23/20 9:11,Marine Retailers Association of the Americas,17,370,"3,300",Water Sports,,,2,3,2,5,4,5,2,2,2,2,1,1,1,1,,,3
8/7/20 7:05,Marine Retailers Association of the Americas,17,455,,Water Sports,"2,300,000",,1,3,3,10,10,2,1,1,1,2,2,2,2,1,2,1,1
8/7/20 10:27,"MIC, SVIA, ROHVA",,,,Motor Vehicle,,,2,,,,,3,3,6,6,"3,4",3,6,6,4,4,,8
5/27/20 14:36,Motorcycle Industry Council ,66,500,,Motor Vehicle,,,1,2,,,,2,2,,,3,3,,,,,,
4/22/20 17:13,Motorcycle Industry Council and affiliates,66,500,,Motor Vehicle,,,1,2,,,,3,3,,,3,3,,,,,,
5/27/20 12:53,MRAA,12,373,"3,000",Water Sports,,,1,3,6,3,5,2,1,3,2,1,1,3,1,1,,,2
5/26/20 8:39,National Assn of RV Parks and Campgrounds,12,3100,20000,Campgrounds + Hospitality,,,1,4,5,3,4,3,2,3,3,1,1,3,3,1,,,4
8/6/20 21:36,National Association of RV Parks and Campgrounds (ARVC),13,"3,000","10,000",Campgrounds + Hospitality,"3,500,000",,2,6,6,6,10,2,2,4,4,1,1,2,2,1,1,2,1
4/23/20 15:22,National Forest Recreation Association,1,80,3000,Campgrounds + Hospitality,,,,7,7,3,7,4,4,4,4,1,1,4,3,1,,,3
5/28/20 8:08,National Forest Recreation Association,1,,,Campgrounds + Hospitality,,,,,,,,,,,,,,,,,,,
8/10/20 16:13,National Forest Recreation Association,1,80,5000,Campgrounds + Hospitality,"$118,000 ","$75,000,000 ",2,5,6,4,4,1,1,4,4,1,1,"1,2,4,5","2,4,5",1,2,2,2
4/24/20 10:57,National Marine Manufacturers Association ,75,1400,"35,000",Water Sports,,,1,1,2,7,7,3,3,3,3,1,1,3,3,4,,,4
4/24/20 12:17,National Park Hospitality Association,2,55,"25,000",Campgrounds + Hospitality,,,1,2,,1,1,3,3,3,3,1,1,5,5,1,,,7
8/7/20 16:27,National Park Hospitality Association,2,50,"25,000",Campgrounds + Hospitality,"450,000","$1,800,000,000 ",1,3,3,2,2,3,3,3,3,1,1,4,4,7,2,5,6
5/26/20 9:44,NMMA,97,1300,40000,Water Sports,,,1,3,7,4,7,3,6,2,6,"3,4",1,"3,4,5",6,4,,,8
8/7/20 19:44,NMMA,100,1300,50000,Water Sports,"50,000,000","43,000,000,000",1,3,11,4,11,3,3,2,2,4,1,4,1,4,2,2,8
8/7/20 18:00,Outdoor Industry Association,30,1400,,Gear + Equipment,"$6,600,000 ",,2,3,,3,,3,,3,,4,,"3,4",,5,4,,8
4/21/20 15:07,PeopleForBikes,24,260,"800,000",Gear + Equipment,,,2,6,6,6,6,6,6,6,6,2,2,2,2,1,,,8
5/19/20 12:36,PeopleForBikes,23,7271,"780,000",Gear + Equipment,,,1,6,6,6,6,2,2,2,2,"2,3,4,5","2,3,4","2,3,4","2,3,4",1,,,8
8/1/20 12:29,PeopleForBikes Coalition,25,280,NA,Gear + Equipment,"3,500,000","88,000,000,000",1,11,11,11,5,6,6,6,6,"2,6","2,6","2,6","2,6",1,2,1,8
5/26/20 15:35,Professional Trailbuilders Association,1,114,1042,,,,1,4,5,3,7,1,1,3,3,1,1,3,3,1,,,7
8/7/20 9:32,Professional Trailbuilders Association,1,113,1042,,"75,000","90,000,000",3,2,6,4,11,1,1,1,6,1,1,2,2,1,1,,
5/26/20 8:57,RV Dealers Association,14,1700,47000,Motor Vehicle,,,1,4,3,3,4,2,2,3,3,3,3,4,4,2,,,4
8/5/20 9:05,RV Dealers Association,13,1700,"47,000",Motor Vehicle,"$3,000,000 ","$20,000,000,000 ",1,3,4,11,12,2,2,2,4,1,1,2,2,2,3,,2
4/21/20 6:33,RV Dealers Association (RVDA),13,2400,47000,Motor Vehicle,,,1,5,2,5,3,1,3,1,3,1,1,2,3,1,,,4
4/22/20 14:44,RV Industry Association,45,413,NA,Motor Vehicle,,,2,1,1,1,1,4,3,3,3,,,4,"3,4",2,,,8
5/26/20 11:04,RV Industry Association,48,413,NA,Motor Vehicle,,,2,3,1,1,6,3,3,4,4,6,6,4,6,2,,,8
8/4/20 14:16,RV Industry Association,49,440,,Motor Vehicle,,,2,4,10,4,10,3,3,4,4,6,6,2,2,2,1,1,2
8/5/20 14:40,SFIA,6,300,"375,000",Gear + Equipment,"$2,000,000 ","$150,000,000,000 ",2,5,6,4,5,3,2,2,6,1,1,3,6,8,4,,8
4/23/20 11:39,SIA,15,750,,Snowsports,,,3,6,5,4,3,3,2,3,3,1,1,3,3,1,,,7
5/26/20 12:12,SIA,10,700,50000,Snowsports,,,2,5,5,3,3,1,1,3,3,1,1,3,4,2,,,4
4/21/20 10:04,Snowmobile manufacturers association ,2,4,,Snowsports,,,3,5,,,,3,,,,1,,,,1,,,1
8/7/20 12:07,Specialty Equipment Market Association,150,"8,000","1,000,000",Gear + Equipment,"$47,000,000 ","$45,000,000,000 ",3,10,4,4,4,2,2,2,2,1,1,3,4,1,4,,3
4/23/20 16:02,Specialty Equipment Market Association (SEMA),150,"8,000","1,000,000",Gear + Equipment,,,2,5,4,5,3,1,2,2,3,1,1,3,4,1,,,3
5/26/20 16:13,Specialty Equipment Market Association (SEMA),150,"8,000","1,000,000",Gear + Equipment,,,2,5,5,4,4,2,2,3,3,1,1,3,3,1,,,3
4/21/20 9:54,Sports & Fitness Industry Asociation,7,400,,Gear + Equipment,,,1,4,3,3,2,2,3,2,3,1,1,"3,4","3,4",1,,,3
5/27/20 14:53,Sports and Fittness Industry Association,,,,Gear + Equipment,,,1,2,,,,,,,,,,3,,,,,6
4/27/20 13:57,The Corps Network,22,133,3000,Volunteer,,,1,6,,2,,1,,3,,1,,3,,1,,,3
8/7/20 14:50,The Corps Network,22,130,3000,Volunteer,"$10,000,000 ","$500,000,000 ",1,4,4,3,3,2,2,2,2,1,1,4,4,1,2,2,8
5/20/20 20:54,The Corps Network ,22,130,3000,Volunteer,,,1,5,5,3,3,2,2,6,6,1,1,3,3,1,,,3
